Iteratie: 1
Epoca 3: tensor(1.7138, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6780, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6529, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6309, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6189, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6089, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6020, grad_fn=<DivBackward0>)
Iteratie: 23
Epoca 0: tensor(2.0540, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8601, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7853, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7304, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6898, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6710, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6601, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6443, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6430, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6361, grad_fn=<DivBackward0>)
Iteratie: 24
Epoca 0: tensor(2.1541, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8667, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7690, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6977, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6539, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6326, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6150, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6013, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5969, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5822, grad_fn=<DivBackward0>)
Iteratie: 25
Epoca 0: tensor(1.9408, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7881, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7201, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6828, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6675, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6417, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6228, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6094, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5970, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5889, grad_fn=<DivBackward0>)
Iteratie: 26
Epoca 0: tensor(2.0462, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8469, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7775, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7353, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.7116, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6809, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6453, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6274, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6216, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6097, grad_fn=<DivBackward0>)
Iteratie: 27
Epoca 0: tensor(1.8754, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7420, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6841, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6500, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6337, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6121, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5959, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5901, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5822, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5962, grad_fn=<DivBackward0>)
Iteratie: 28
Epoca 0: tensor(2.0376, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8543, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7833, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7244, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6938, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6669, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6546, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6613, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6586, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6302, grad_fn=<DivBackward0>)
Iteratie: 29
Epoca 0: tensor(2.3134, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.9132, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7662, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6921, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6438, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6131, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5940, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5819, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5715, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5623, grad_fn=<DivBackward0>)
Iteratie: 30
Epoca 0: tensor(2.1110, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8641, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7787, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7111, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6898, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6590, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6403, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6432, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6263, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6167, grad_fn=<DivBackward0>)
Iteratie: 31
Epoca 0: tensor(1.9606, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7668, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6870, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6367, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6069, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.5917, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5919, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5989, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6004, grad_fn=<DivBackward0>)
